postid,published_name/title,publisher,page/group/user,description,category,post_type,published_time,no_of_likes,no_of_dislikes,no_of_comments,no_of_shares,no_of_views
653523018,ඉසිවර හෙළ ඔසු,5eece14efc13ae6609000052,Page,පිළිකාවක් වීමට පෙර සුවකර ගත යුතු අර්ශස්,"pre-cancer, emorrhoids, cure",text/photo,7/5/2021 9:52,135,0,2,962,0
662340373,ඉසිවර හෙළ ඔසු,5eece14ffc13ae66090000b5,Page,අකලට හිසකෙස් සුදු වීම වළකන ඖෂධීය සත්කාරය,"premature hair loss, pevent, herbal treatment",text/photo,7/12/2021 16:39,208,0,18,925,0
356042511,ඉසිවර හෙළ ඔසු,5eece14ffc13ae66090001e3,Page,සිරුරේ ප්‍රතිශක්තිය වැඩි කර ගැනීමට ක්‍රම 10 ක්,"body, immunity, increase, ten methods",text/photo,7/19/2021 13:22,156,0,8,945,0
385194781,ඉසිවර හෙළ ඔසු,5eece14ffc13ae66090001e8,Page,අධික තරබාරුව අඩු කිරීමට වැල්පෙනෙල කැඳ,"excessive obesity, reduce, valpenela, gruel",text/photo,7/26/2021 17:00,84,0,3,238,0
293468411,ඉසිවර හෙළ ඔසු,5eece14efc13ae660900001f,Page,බරවා රෝගයට අත්දුටු ප්‍රතිකාර,"filaria disease, treatments",text/photo,8/2/2021 10:27,41,0,0,211,0
516896049,ඉසිවර හෙළ ඔසු,5eece14ffc13ae66090000c6,Page,කොවිඩ්-19 ඩෙල්ටා ප්‍රභේදය මර්දනයට ලෙමන් යුෂ සත්කාරය,"covid-nineteen, delta variant, kill, lemon juice, treatment",text/photo,8/9/2021 10:09,240,0,4,309,0
660867347,ඉසිවර හෙළ ඔසු,5eece14efc13ae6609000017,Page,නීරෝගි දිවියට තැම්බුම් හොද්ද,"healthy life, thambum hodi",text/photo,8/16/2021 10:26,143,0,4,582,0
759320001,ඉසිවර හෙළ ඔසු,5eece14ffc13ae660900016d,Page,ආත්‍රයිටිස් සුව කර ගැනීමට ක්‍රම 7ක්,"arthritis, cure, seven mehods",text/photo,8/23/2021 13:31,84,0,6,532,0
734694475,ඉසිවර හෙළ ඔසු,5eece14ffc13ae66090000d2,Page,දියවැඩියාව සුවයට රණවරා කොළ කැඳ,"diabetes,  cure, ranawara leaves, gruel",text/photo,8/30/2021 15:02,82,0,2,190,0
99629945,ඉසිවර හෙළ ඔසු,5eece14ffc13ae660900008e,Page,අත්දුටු අත් බෙහෙත් (01 කොටස),"home-remedies, part one",text/photo,9/6/2021 12:23,116,0,0,268,0
285046033,ඉසිවර හෙළ ඔසු,5eece14ffc13ae66090000ef,Page,හිසරදය කේෂණිකව නසන විස්මිත ශීර්ෂාලේපනය,"headaches, kill, balm",text/photo,9/13/2021 19:04,81,0,3,131,0
734559584,ඉසිවර හෙළ ඔසු,5eece14ffc13ae6609000156,Page,දිව්‍යමය ඔසුවක් බඳු නිල් කටරොළු,"medicine, butterfly pea flower",text/photo,9/20/2021 9:56,100,0,1,309,0
440926148,ඉසිවර හෙළ ඔසු,5eece14ffc13ae6609000188,Page,කොලෙස්ටරෝල් නසන කරපිංචා වල අත් බෙහෙත්,"cholesterol, kill, curry tree, home-remedies",text/photo,9/28/2021 0:16,89,0,0,381,0
10109921,ඉසිවර හෙළ ඔසු,5eece14ffc13ae660900018a,Page,කෙණ්ඩා පෙරලීමට සුව දෙන ඖෂධීය සත්කාරය,"cramp, cure, herbal treatment",text/photo,10/5/2021 10:19,68,0,4,244,0
77554352,ඉසිවර හෙළ ඔසු,5eece14ffc13ae66090001a6,Page,උගුර රිදීම කේෂණිකව සුව කරන ස්වාභාවික ප්‍රතිකාර 10 ක්,"sore throat, cure, ten natural treatments",text/photo,10/11/2021 10:00,109,0,1,508,0
153019620,ඉසිවර හෙළ ඔසු,5eece14efc13ae660900002e,Page,පීනසට තිත තබන ඖෂධීය පානය," catarrh, cure, herbal drink",text/photo,10/18/2021 12:35,120,0,16,464,0
164168426,ඉසිවර හෙළ ඔසු,5eece14ffc13ae6609000120,Page,පිළිකාව විනාශ කරන හොඳම ආහාර 10 ක්,"cancer, kill, top ten foods",text/photo,10/25/2021 15:01,127,0,6,504,0
551282290,ඉසිවර හෙළ ඔසු,5eece14ffc13ae66090001e1,Page,මළබද්ධය මට්ටු කරන ආයුර්වේද ප්‍රතිකාර,"constipation, ayurvedic treatments",text/photo,11/1/2021 18:32,97,0,3,316,0
725007857,ඉසිවර හෙළ ඔසු,5eece14ffc13ae66090000a8,Page,දද කුෂ්ඨ වලට අත් බෙහෙත්,"eczema, skin diseases, home-remedies",text/photo,11/8/2021 9:37,54,0,2,318,0
573392050,ඉසිවර හෙළ ඔසු,5eece14ffc13ae6609000093,Page,හිස් කබලේ සෙම පිරීමට සුවදෙන ඖෂධීය සත්කාරය,"sinusitis disease, cure, herbal treatment",text/photo,11/15/2021 9:48,301,0,21,981,0
677668504,ඉසිවර හෙළ ඔසු,5eece14ffc13ae660900015f,Page,නහර ගැට ගැසීම සුව කර ගැනීමට ක්‍රම 10 ක්,"deep vein thrombosis, cure, ten methods",text/photo,11/23/2021 9:49,125,0,2,1010,0
960942491,ඉසිවර හෙළ ඔසු,5eece14ffc13ae6609000102,Page,වකුගඩු නරක් වේගෙන එන බව හඟවන ලක්ෂණ 10 ක්," kidney failure, ten signs",text/photo,12/2/2021 13:11,203,0,9,1390,0
140572936,ඉසිවර හෙළ ඔසු,5eece14efc13ae6609000024,Page,මුත්‍රා ගල් සුවයට පොල්පලා කොළ කැඳ,"urine, bladder stones, cure, polpala leaves, gruel",text/photo,12/7/2021 12:17,72,0,3,168,0
993925044,ඉසිවර හෙළ ඔසු,5eece14ffc13ae66090000d0,Page,බීට්රූට් යුෂ පානය කිරීමෙන් ශරීරයේ සිදුවන දේවල් 7ක්,"seven things, body, drinking, beetroot juice",text/photo,12/16/2021 23:19,74,0,2,327,0
494349805,ඉසිවර හෙළ ඔසු,5eece14ffc13ae66090001c8,Page,අත්දුටු අත් බෙහෙත් (02 කොටස),"home-remedies, part two",text/photo,12/22/2021 17:35,85,0,2,492,0
209992329,ඉසිවර හෙළ ඔසු,5eece14ffc13ae660900007b,Page,සම පැහැපත් කරන නිල් කටරොළු සත්කාරය,"skin whitening, butterfly pea flower, treatment",text/photo,12/29/2021 9:43,74,0,1,159,0
369096303,ඉසිවර හෙළ ඔසු,5eece14ffc13ae660900015c,Page,රස ගුණ සපිරි තෙබු,"thebu, taste, healthy",text/photo,1/3/2022 10:36,46,0,1,141,0
308094151,ඉසිවර හෙළ ඔසු,5eece14ffc13ae66090000d3,Page,සිරුරේ බර අඩු කරන පොකුරු වද මල් පානය,"body weight, reduce, cluster hibiscus flower drink",text/photo,1/10/2022 19:54,46,0,1,123,0
939169166,ඉසිවර හෙළ ඔසු,5eece14efc13ae660900001c,Page,දියවැඩියාව නසන බෙලි වල අත් බෙහෙත්,"diabetes, kill, beli, home-remedies",text/photo,1/17/2022 13:51,61,0,2,312,0
312482335,ඉසිවර හෙළ ඔසු,5eece14ffc13ae66090000ec,Page,පණු රෝගයට සුවදෙන ඖෂධීය පානය,"worm diease, cure, herbal drink",text/photo,1/24/2022 18:45,47,0,4,95,0
93339634,ඉසිවර හෙළ ඔසු,5eece14ffc13ae66090000e4,Page,ගැස්ට්‍රයිටිස් සුව කර ගැනීමට ක්‍රම 10 ක්,"gastritis, cure, ten methods",text/photo,2/1/2022 19:45,88,0,9,766,0
871025474,ඉසිවර හෙළ ඔසු,5eece14ffc13ae66090001e1,Page,සුදු කබර රෝගය සුවකරන ඖෂධීය තෛලය,"leucoderma disease, cure, herbal oil",text/photo,2/10/2022 10:02,38,0,5,157,0
828978824,ඉසිවර හෙළ ඔසු,5eece14ffc13ae6609000106,Page,මාරාන්තික ඩෙංගු ‍රෝගය හඳුනා ගැනීමට දේහ ලක්ෂණ 10 ක්,"deadly, dengue disease, detection, ten body symptoms",text/photo,2/15/2022 20:20,30,0,1,126,0
898352152,ඉසිවර හෙළ ඔසු,5eece14ffc13ae66090001cf,Page,සිරුරේ ප්‍රතිශක්තිය වඩන විස්මිත සූපය,"boosts immunity, body, soup",text/photo,3/12/2022 23:22,50,0,2,66,0
64567909,ඉසිවර හෙළ ඔසු,5eece14ffc13ae66090001a3,Page,"සතියට දින 02 ක් භාවිතා කරමින් සීනි බස්සන දුර්ලබ හෙළ ඔසුව , දැන් පානයක් ලෙසින් පානයක් සාදා ගැනීමට","diabetes, rare sinhala medicinal drink",text/photo,3/16/2022 7:30,16,0,23,23,0
110988311,ඉසිවර හෙළ ඔසු,5eece14ffc13ae660900018a,Page,අකලට හිසකෙස් වැටීම අවම කරන ක්‍රම 10 ක්,"premature hair loss, reduce, ten methods",text/photo,4/17/2022 9:41,74,0,3,447,0
808645616,ඉසිවර හෙළ ඔසු,5eece14efc13ae660900000f,Page,උඳුගොව්වන් කෑම වළකන ආයුර්වේද ප්‍රතිකාර,"cordyceps fungi, ayurvedic treatments",text/photo,4/25/2022 20:07,42,0,0,153,0
